Kingdom Phylum Class Order Family Genus
179 Bacteria Firmicutes Clostridia Lachnospirales Lachnospiraceae "[Eubacterium] oxidoreducens group"
180 Bacteria Verrucomicrobiota Verrucomicrobiae Verrucomicrobiales Akkermansiaceae Akkermansia
181 Bacteria Actinobacteriota Coriobacteriia Coriobacteriales Eggerthellaceae Enterorhabdus
182 Bacteria Firmicutes Bacilli Lactobacillales NA NA
183 Bacteria Firmicutes Clostridia Clostridiales Clostridiaceae "Candidatus Arthromitus"
184 Bacteria Firmicutes Clostridia Lachnospirales Lachnospiraceae unclassified_Lachnospiraceae
185 Bacteria Firmicutes Clostridia Lachnospirales Lachnospiraceae unclassified_Lachnospiraceae
186 Bacteria Cyanobacteria Cyanobacteriia Chloroplast NA NA
187 Bacteria Firmicutes Clostridia unclassified_Clostridia NA NA
188 Bacteria Firmicutes Clostridia NA NA NA
189 Bacteria Firmicutes Clostridia "Clostridia UCG-014" NA NA
190 Bacteria Firmicutes Clostridia NA NA NA
191 NA NA NA NA NA NA
192 NA NA NA NA NA NA
193 NA NA NA NA NA NA
194 Bacteria Firmicutes Clostridia Oscillospirales Oscillospiraceae Intestinimonas
195 NA NA NA NA NA NA
196 NA NA NA NA NA NA
197 Bacteria Firmicutes Bacilli Lactobacillales unclassified_Lactobacillales NA
198 Bacteria Firmicutes Clostridia Lachnospirales Lachnospiraceae unclassified_Lachnospiraceae
199 Bacteria Firmicutes Bacilli Erysipelotrichales Erysipelatoclostridiaceae unclassified_Erysipelatoclostridiaceae
200 Bacteria Patescibacteria Saccharimonadia Saccharimonadales Saccharimonadaceae "Candidatus Saccharimonas"
201 NA NA NA NA NA NA
202 Bacteria Firmicutes Clostridia Lachnospirales Lachnospiraceae unclassified_Lachnospiraceae
203 Bacteria Firmicutes Clostridia Oscillospirales Oscillospiraceae Intestinimonas
204 NA NA NA NA NA NA
205 Bacteria Firmicutes Clostridia Lachnospirales Lachnospiraceae unclassified_Lachnospiraceae
206 Bacteria Firmicutes Clostridia Lachnospirales Lachnospiraceae NA
207 Bacteria Firmicutes Clostridia Lachnospirales Lachnospiraceae "[Eubacterium] xylanophilum group"
208 Bacteria Firmicutes Clostridia Lachnospirales Lachnospiraceae unclassified_Lachnospiraceae
209 Bacteria Firmicutes Bacilli Lactobacillales Streptococcaceae Streptococcus
210 Bacteria Cyanobacteria Cyanobacteriia Chloroplast NA NA
211 Bacteria Firmicutes Clostridia "Clostridia UCG-014" NA NA
212 Bacteria Firmicutes Clostridia Lachnospirales Lachnospiraceae unclassified_Lachnospiraceae
213 Bacteria Firmicutes Clostridia Lachnospirales Lachnospiraceae unclassified_Lachnospiraceae
214 Bacteria Firmicutes unclassified_Firmicutes NA NA NA
215 Bacteria Actinobacteriota Coriobacteriia Coriobacteriales Eggerthellaceae Enterorhabdus
216 Bacteria Firmicutes Clostridia Lachnospirales Lachnospiraceae GCA-900066575
217 Bacteria Firmicutes Clostridia unclassified_Clostridia NA NA
218 Bacteria Cyanobacteria Cyanobacteriia Chloroplast NA NA
219 Bacteria Firmicutes Clostridia "Clostridia UCG-014" NA NA
220 Bacteria Firmicutes Bacilli RF39 NA NA
221 Bacteria Actinobacteriota Coriobacteriia Coriobacteriales Atopobiaceae unclassified_Atopobiaceae
222 Bacteria Firmicutes Clostridia Lachnospirales Defluviitaleaceae "Defluviitaleaceae UCG-011"
223 Bacteria Firmicutes Bacilli RF39 NA NA
