Kingdom Phylum Class Order Family Genus
172 Bacteria Firmicutes Clostridia Lachnospirales Lachnospiraceae Lachnospiraceae_NK4A136_group
173 Bacteria Firmicutes Clostridia Oscillospirales Oscillospiraceae NA
174 Bacteria Firmicutes Clostridia Oscillospirales Ruminococcaceae NA
175 Bacteria Firmicutes Clostridia Lachnospirales Lachnospiraceae Acetatifactor
176 Bacteria Firmicutes Clostridia Oscillospirales Ruminococcaceae Paludicola
177 Bacteria Firmicutes Clostridia Lachnospirales Lachnospiraceae NA
178 Bacteria Firmicutes Clostridia Lachnospirales Lachnospiraceae Roseburia
179 Bacteria Firmicutes Clostridia Oscillospirales Oscillospiraceae NA
180 Bacteria Verrucomicrobiota Verrucomicrobiae Verrucomicrobiales Akkermansiaceae Akkermansia
181 Bacteria Actinobacteriota Coriobacteriia Coriobacteriales Eggerthellaceae Enterorhabdus
182 Bacteria Firmicutes Bacilli Lactobacillales Streptococcaceae Streptococcus
183 Bacteria Firmicutes Clostridia Clostridiales Clostridiaceae Candidatus_Arthromitus
184 Bacteria Firmicutes Clostridia Lachnospirales Lachnospiraceae NA
185 Bacteria Firmicutes Clostridia Lachnospirales Lachnospiraceae Acetatifactor
186 Bacteria Cyanobacteria Cyanobacteriia Chloroplast NA NA
187 Bacteria Firmicutes Clostridia Oscillospirales Oscillospiraceae UCG-005
188 Bacteria Firmicutes Clostridia Clostridia_UCG-014 NA NA
189 Bacteria Firmicutes Clostridia Clostridia_UCG-014 NA NA
190 Bacteria Firmicutes Clostridia Lachnospirales Lachnospiraceae NA
191 Bacteria Firmicutes Clostridia Clostridia_vadinBB60_group NA NA
192 Bacteria Firmicutes Clostridia Lachnospirales Lachnospiraceae NA
193 Bacteria Bacteroidota Bacteroidia Bacteroidales Muribaculaceae NA
194 Bacteria Firmicutes Clostridia Oscillospirales Oscillospiraceae NA
195 Bacteria Actinobacteriota Coriobacteriia Coriobacteriales Eggerthellaceae Enterorhabdus
196 Bacteria Bacteroidota Bacteroidia Bacteroidales Muribaculaceae NA
197 Bacteria Firmicutes Bacilli Lactobacillales Streptococcaceae Streptococcus
198 Bacteria Firmicutes Clostridia Lachnospirales Lachnospiraceae NA
199 Bacteria Firmicutes Bacilli Erysipelotrichales Erysipelatoclostridiaceae NA
200 Bacteria Patescibacteria Saccharimonadia Saccharimonadales Saccharimonadaceae Candidatus_Saccharimonas
201 Bacteria Bacteroidota Bacteroidia Bacteroidales Muribaculaceae NA
202 Bacteria Firmicutes Clostridia Lachnospirales Lachnospiraceae NA
203 Bacteria Firmicutes Clostridia Oscillospirales Oscillospiraceae NA
204 Bacteria Firmicutes Clostridia NA NA NA
205 Bacteria Firmicutes Clostridia Lachnospirales Lachnospiraceae NA
206 Bacteria Firmicutes Clostridia Lachnospirales Lachnospiraceae NA
207 Bacteria Firmicutes Clostridia Lachnospirales Lachnospiraceae Anaerostipes
208 Bacteria Firmicutes Clostridia Lachnospirales Lachnospiraceae NA
209 Bacteria Firmicutes Bacilli Lactobacillales Streptococcaceae Streptococcus
210 Bacteria Cyanobacteria Cyanobacteriia Chloroplast NA NA
211 Bacteria Firmicutes Clostridia Clostridia_UCG-014 NA NA
212 Bacteria Firmicutes Clostridia Lachnospirales Lachnospiraceae Lachnospiraceae_UCG-006
213 Bacteria Firmicutes Clostridia Lachnospirales Lachnospiraceae Lachnospiraceae_NK4A136_group
214 Bacteria Firmicutes Clostridia Oscillospirales Oscillospiraceae Oscillibacter
215 Bacteria Actinobacteriota Coriobacteriia Coriobacteriales Eggerthellaceae Enterorhabdus
216 Bacteria Firmicutes Clostridia Lachnospirales Lachnospiraceae GCA-900066575
217 Bacteria Firmicutes Clostridia Clostridia_vadinBB60_group NA NA
218 Bacteria Cyanobacteria Cyanobacteriia Chloroplast NA NA
219 Bacteria Firmicutes Clostridia Clostridia_UCG-014 NA NA
220 Bacteria Firmicutes Bacilli RF39 NA NA
221 Bacteria Actinobacteriota Coriobacteriia Coriobacteriales Atopobiaceae Olsenella
222 Bacteria Firmicutes Clostridia Lachnospirales Defluviitaleaceae Defluviitaleaceae_UCG-011
223 Bacteria Firmicutes Bacilli RF39 NA NA
